IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.0.2.15,57122,172.217.22.106,443,10039,Home,com.uncube.launcher3,HTTPS,Active,,830,1190,15,15,2026-06-16T13:39:06.661+02:00,2026-06-16T13:42:21.771+02:00
17,10.0.2.15,5353,224.0.0.251,5353,1020,MulticastDNSResponder,multicastdnsresponder,MDNS,Closed,,806,0,2,0,2026-06-16T13:39:08.466+02:00,2026-06-16T13:39:40.498+02:00
17,fe80::4032:d741:ce8e:5557,5353,ff02::fb,5353,1020,MulticastDNSResponder,multicastdnsresponder,MDNS,Closed,,846,0,2,0,2026-06-16T13:39:08.466+02:00,2026-06-16T13:39:40.498+02:00
6,10.0.2.15,44880,8.8.8.8,853,0,Root,root,TLS,Closed,,3996,13890,33,39,2026-06-16T13:39:27.765+02:00,2026-06-16T13:39:54.347+02:00
6,10.0.2.15,48348,34.248.24.94,443,10064,DOFUS Touch,com.ankama.dofustouch,TLS,Closed,dt-proxy-production-login.ankama-games.com,9350,469303,89,93,2026-06-16T13:39:27.948+02:00,2026-06-16T13:40:32.115+02:00
6,10.0.2.15,60260,3.174.255.11,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Active,haapi.ankama.com,3562,62621,32,38,2026-06-16T13:39:29.427+02:00,2026-06-16T13:39:34.313+02:00
6,10.0.2.15,60262,3.174.255.11,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,haapi.ankama.com,1012,5435,9,8,2026-06-16T13:39:29.428+02:00,2026-06-16T13:39:29.651+02:00
6,10.0.2.15,57834,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dofustouch.cdn.ankama.com,885,5102,8,7,2026-06-16T13:39:29.429+02:00,2026-06-16T13:39:29.651+02:00
6,10.0.2.15,57836,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dofustouch.cdn.ankama.com,885,5102,8,7,2026-06-16T13:39:29.430+02:00,2026-06-16T13:39:29.651+02:00
6,10.0.2.15,57838,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dofustouch.cdn.ankama.com,858,5102,8,7,2026-06-16T13:39:29.433+02:00,2026-06-16T13:39:29.651+02:00
6,10.0.2.15,57840,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Active,dofustouch.cdn.ankama.com,56582,86345,439,494,2026-06-16T13:39:29.433+02:00,2026-06-16T13:42:08.835+02:00
6,10.0.2.15,57842,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dofustouch.cdn.ankama.com,989,5142,9,8,2026-06-16T13:39:29.434+02:00,2026-06-16T13:39:29.652+02:00
6,10.0.2.15,57844,3.160.188.6,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dofustouch.cdn.ankama.com,989,5142,9,8,2026-06-16T13:39:29.435+02:00,2026-06-16T13:39:29.651+02:00
6,10.0.2.15,41950,3.174.255.106,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Active,static.ankama.com,1843,6712,11,11,2026-06-16T13:39:29.800+02:00,2026-06-16T13:39:29.993+02:00
17,10.0.2.15,37252,172.217.22.110,443,10012,Google Play Store,com.android.vending,QUIC,Closed,,3733,7031,11,13,2026-06-16T13:39:30.388+02:00,2026-06-16T13:39:30.754+02:00
6,10.0.2.15,54058,172.217.22.110,443,10012,Google Play Store,com.android.vending,HTTPS,Active,play-fe.googleapis.com,932,5927,7,6,2026-06-16T13:39:30.392+02:00,2026-06-16T13:39:30.637+02:00
6,10.0.2.15,48282,142.251.39.99,443,10012,Google Play Store,com.android.vending,HTTPS,Active,connectivitycheck.gstatic.com,889,4891,8,8,2026-06-16T13:39:30.575+02:00,2026-06-16T13:39:30.751+02:00
6,10.0.2.15,48372,34.248.24.94,443,10064,DOFUS Touch,com.ankama.dofustouch,HTTPS,Closed,dt-proxy-production-login.ankama-games.com,3748,4336,16,19,2026-06-16T13:39:31.132+02:00,2026-06-16T13:39:32.365+02:00
